course_code,course_title,department,credits,level,prerequisites,description,instructor,semester_offered,capacity,meeting_times
CS101,Introduction to Computer Science,Computer Science,3,Beginner,None,"Fundamental concepts in computer science including algorithms, data structures, and programming paradigms. Hands-on projects and problem-solving exercises.","Dr. Alice Johnson",Fall/Spring,40,"MWF 9:00-10:00 AM, TTh 9:00-10:30 AM"
CS201,Data Structures and Algorithms,Computer Science,4,Intermediate,CS101,"Advanced study of data structures (lists, trees, graphs), algorithm design, and computational complexity. Implementation in Python and C++.","Prof. Bob Chen",Spring,35,"MWF 10:00-11:00 AM"
CS301,Artificial Intelligence,Computer Science,3,Advanced,CS201,"Introduction to AI techniques: search algorithms, knowledge representation, machine learning basics, natural language processing.","Dr. Sarah Williams",Fall,30,"TTh 13:00-14:30 (1:00-2:30 PM)"
MATH101,Calculus I,Mathematics,4,Beginner,High School Algebra,"Limits, derivatives, integrals of single-variable functions. Applications to optimization and physics problems.","Prof. Michael Smith",Fall/Spring,50,"MWF 11:00-12:00 PM"
MATH201,Linear Algebra,Mathematics,3,Intermediate,MATH101,"Vector spaces, matrices, eigenvalues, linear transformations, applications to systems and data analysis.","Dr. Jennifer Lee",Spring,40,"TTh 10:00-11:30 AM"
BIO101,General Biology,Biology,4,Beginner,None,"Cell structure and function, genetics, evolution, ecology. Lab component includes microscopy and organism observations.","Prof. David Brown",Fall/Spring,60,"MWF 13:00-14:00 (1:00-2:00 PM), Lab W 14:00-16:00"
CHEM101,General Chemistry,Chemistry,4,Beginner,High School Chemistry,"Atomic structure, bonding, stoichiometry, thermodynamics. Lab includes safety training and practical experiments.","Dr. Patricia Garcia",Fall/Spring,45,"MWF 10:00-11:00 AM, Lab T 14:00-17:00"
ENG101,English Composition,English,3,Beginner,None,"Academic writing skills, essay structure, research methods, citation formats, peer review and revision.","Prof. Rebecca Martinez",Fall/Spring,25,"MWF 14:00-15:00 (2:00-3:00 PM)"
HIST101,World History: Ancient to Medieval,History,3,Beginner,None,"Survey of major civilizations and events from prehistory through the Middle Ages. Emphasis on cultural and political development.","Dr. James Wilson",Fall,35,"TTh 11:00-12:30 PM"
PSY101,Introduction to Psychology,Psychology,3,Beginner,None,"Foundations of psychology including perception, memory, learning, personality, social behavior, and mental health.","Prof. Lisa Anderson",Fall/Spring,40,"MWF 13:00-14:00 (1:00-2:00 PM)"
