fee_name,2025_2026_cost_per_semester,frequency,description,notes
Full-Time Tuition (12-18 credits),$15000,Semester,"Base tuition for full-time enrollment","Per credit: $833.33"
Part-Time Tuition (under 12 credits),$833.33,Per Credit,"Cost for taking fewer than 12 credits","Enrolled status maintained"
Room (On-Campus),$4000,Semester,"Single or shared dorm room","Varies by room type and location"
Board (Meal Plan),$4000,Semester,"Unlimited meal plan (20 meals/week)","Premium and Flex plans available at lower costs"
Technology Fee,$400,Semester,"IT infrastructure, software licenses, internet access","Mandatory for all students"
Health Center Fee,$250,Semester,"Campus health services, counseling (8 sessions included)","Mandatory for all students"
Student Activity Fee,$150,Semester,"Clubs, events, student government, athletics","Mandatory for all students"
Parking Fee,$75,Semester,"Parking permit for commuter/student vehicles","Optional; commuters only"
Lab Fee (if applicable),$200,Semester,"Science lab materials and equipment","For students in CHEM, BIO, PHYS courses"
Athletic Fee (Optional),$100,Semester,"Recreation center membership, fitness classes","Optional; full access to facilities"
Student Center Fee,$50,Semester,"Student center operations and maintenance","Mandatory for all students"
Graduation Fee,$250,One-time,"Diploma, regalia, commencement ceremony","Required for degree completion"
Late Registration Fee,$50,One-time,"Assessed if registration after deadline","Waived if medical/emergency circumstance"
Course Change Fee,$25,Per Change,"Assessed for drops/adds after deadline","First 10 days free"
Transcript Fee,$5,Per Copy,"Official transcript requests (paper or electronic)","Electronic transcripts free via online portal"
Housing Application Fee,$100,One-time,"Reservation for on-campus housing for following year","Non-refundable, due by March 15"

scholarship_name,scholarship_amount_per_year,qualification_requirements,contact_office,notes
Merit Scholarship - Full Tuition,$30000,"GPA 3.8+, SAT 1450+, Essay required","Admissions Office","Renewable annually with 3.5+ GPA"
Merit Scholarship - Half Tuition,$15000,"GPA 3.5-3.79, SAT 1350+","Admissions Office","Renewable annually with 3.3+ GPA"
Merit Scholarship - Quarter Tuition,$7500,"GPA 3.3-3.49, SAT 1250+","Admissions Office","Renewable annually with 3.0+ GPA"
Diversity Scholarship,$10000,"Underrepresented student, interview required","Admissions Office & Diversity Office","For first-generation, minority, low-income students"
Faculty Dependent Scholarship,$5000,"Parent/guardian is College faculty/staff","HR Department","Based on family need"
Alumni Child Scholarship,$3000,"Parent attended College","Alumni Relations Office","Priority given to legacy applicants"
STEM Scholarship,$8000,"STEM major, GPA 3.2+, research interest","STEM Department Chairs","Internship/research opportunity included"
Leadership Scholarship,$5000,"Demonstrated leadership, community service","Student Life Office","Application with essay required"
Athl etic Scholarship,$10000-$25000,"Athletic recruitment, varsity sport commitment","Athletics Department","Merit-based, renewable with athletic eligibility"
Need-Based Grant,$1000-$15000,"FAFSA completion, financial need verification","Financial Aid Office","Award varies by need level"
Work-Study Award,$2500-$4000,"Financial need, on-campus job commitment","Financial Aid Office","Up to $12.50/hour, 10 hours/week max"
Community Partner Scholarship,$3000-$5000,"Community service hours, referral from partner","Community Engagement Office","List of partner organizations available"
First-Generation Scholarship,$4000,"First in family to attend college, FAFSA filed","Admissions Office","Support and mentoring included"
Women in STEM Scholarship,$6000,"Female identifying, STEM major, sophomore+","STEM Department Chairs","Alumnae mentorship available"
